ALARA 2.9.2
Set verbose level to 2.
Opened tree file output/sample3.tree.
	Opened sample3 for input.
Starting problem input processing.
	Reading input.
	Cross-checking input for completeness and self-consistency.


***Please review this schedule hierarchy.!!!!!!!!!!

Schedule 'total':
	pulse: 1 s with 0 s delay pulsed with history pulsed_spec

***End of schedule hierarchy.


	Preprocessing input.
Starting problem solution.
	Solved problem.
	Reset binary dump with 5 results per isotope.
Zone output requested:
	Response Units: Bq /cm3
	Break-down by Constituent
	Total Decay Heat [W/cm3]


*** Total Decay Heat [W/cm3] ***
si-33 	1.8358e-03  1.6410e-03  0.0000e+00  2.1938e-06  0.0000e+00  
p-30 	2.1323e-03  2.1225e-03  0.0000e+00  1.6156e-03  0.0000e+00  
p-32 	9.0065e-04  9.0065e-04  8.5792e-04  9.0062e-04  1.8624e-11  
p-33 	9.1146e-07  9.1147e-07  8.8701e-07  9.1153e-07  4.4239e-11  
p-34 	6.2178e+00  5.8798e+00  0.0000e+00  2.1729e-01  0.0000e+00  
p-35 	4.9940e-04  4.9213e-04  0.0000e+00  2.0730e-04  0.0000e+00  
p-36 	3.3710e-04  2.9785e-04  0.0000e+00  2.0065e-07  0.0000e+00  
s-35 	5.8204e-07  5.8204e-07  5.7747e-07  5.8205e-07  3.2560e-08  
s-37 	1.8857e-02  1.8813e-02  0.0000e+00  1.6411e-02  0.0000e+00  
s-38 	2.8694e-06  2.8692e-06  8.1823e-09  2.8577e-06  0.0000e+00  
cl-34 	7.4926e-04  4.7574e-04  0.0000e+00  1.0929e-15  0.0000e+00  
cl-34m	1.3223e-05  1.3219e-05  4.1419e-19  1.2941e-05  0.0000e+00  
cl-36 	1.0290e-10  1.0290e-10  1.0290e-10  1.0290e-10  1.0290e-10  
cl-38 	7.2609e-02  7.3488e-02  1.6490e-13  7.2761e-02  0.0000e+00  
cl-38m	9.8005e-01  3.9838e-01  0.0000e+00  3.4227e-24  0.0000e+00  
cl-39 	6.3689e-03  6.3676e-03  1.0177e-10  6.2900e-03  0.0000e+00  
cl-40 	6.1074e-02  6.0553e-02  0.0000e+00  3.6548e-02  0.0000e+00  
cl-41 	1.0650e-03  1.0435e-03  0.0000e+00  3.1341e-04  0.0000e+00  
ar-37 	1.2720e-06  1.2720e-06  1.2471e-06  1.2720e-06  9.4920e-10  
ar-39 	1.3900e-07  1.3900e-07  1.3923e-07  1.3900e-07  1.3887e-07  
ar-41 	9.2277e-02  9.2267e-02  1.0249e-05  9.1697e-02  0.0000e+00  
