ALARA 2.9.2
Set verbose level to 2.
Opened tree file output/sample2.tree.
	Opened sample2 for input.
Starting problem input processing.
	Reading input.
	Cross-checking input for completeness and self-consistency.


***Please review this schedule hierarchy.!!!!!!!!!!

Schedule '1_year':
	pulse: 1 y with 0 s delay pulsed with history steady_state

***End of schedule hierarchy.


	Preprocessing input.
Starting problem solution.
	Solved problem.
	Reset binary dump with 5 results per isotope.
Interval output requested:
	Response Units: Bq /cm3
	Number Density [atoms/cm3]
	Specific Activity [Bq/cm3]


*** Number Density [atoms/cm3] ***
mn-54 	4.9528e+13  4.9418e+13  3.9670e+13  2.2079e+13  4.0588e-22  
mn-55 	1.9612e+14  1.9664e+14  2.4590e+14  3.6185e+14  9.3868e+14  
mn-56 	1.0755e+11  1.6992e+08  0.0000e+00  0.0000e+00  0.0000e+00  
mn-57 	2.1051e+07  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
mn-58 	2.3932e+05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
mn-58m	4.9292e+03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
mn-59 	3.8445e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
fe-53 	9.8107e+06  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
fe-54 	3.6142e+16  3.6142e+16  3.6142e+16  3.6142e+16  3.6142e+16  
fe-55 	7.4256e+14  7.4204e+14  6.9278e+14  5.7683e+14  7.9849e+03  
fe-56 	5.6325e+17  5.6325e+17  5.6325e+17  5.6325e+17  5.6325e+17  
fe-57 	1.5391e+16  1.5392e+16  1.5406e+16  1.5431e+16  1.5457e+16  
fe-58 	1.8396e+15  1.8397e+15  1.8449e+15  1.8478e+15  1.8480e+15  
fe-59 	7.0399e+11  6.9311e+11  1.4829e+11  2.4284e+09  0.0000e+00  
fe-60 	4.8179e+09  4.8179e+09  4.8179e+09  4.8179e+09  4.8178e+09  
fe-61 	2.6063e+05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
co-56 	1.3870e+10  1.3747e+10  5.6579e+09  5.3035e+08  0.0000e+00  
co-57 	6.5503e+13  6.5345e+13  5.0776e+13  2.5898e+13  3.1376e-27  
co-58 	8.3583e+12  8.3275e+12  3.1654e+12  2.3927e+11  0.0000e+00  
co-58m	6.0255e+10  9.3726e+09  0.0000e+00  0.0000e+00  0.0000e+00  
co-59 	5.4480e+13  5.4491e+13  5.5037e+13  5.5185e+13  5.5552e+13  
co-60 	1.3953e+13  1.3948e+13  1.3460e+13  1.2240e+13  2.8441e+07  
co-60m	2.4673e+08  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
co-61 	1.3312e+08  5.5787e+03  0.0000e+00  0.0000e+00  0.0000e+00  
co-62 	7.9287e+05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
co-62m	4.0544e+06  2.7829e-25  0.0000e+00  0.0000e+00  0.0000e+00  
co-63 	1.3700e+04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
co-64 	1.0635e+02  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
ni-57 	2.3401e+10  1.4685e+10  1.3550e-10  0.0000e+00  0.0000e+00  
ni-58 	5.3951e+16  5.3951e+16  5.3951e+16  5.3951e+16  5.3951e+16  
ni-59 	4.0478e+14  4.0478e+14  4.0478e+14  4.0478e+14  4.0441e+14  
ni-60 	2.0759e+16  2.0759e+16  2.0760e+16  2.0761e+16  2.0773e+16  
ni-61 	1.0067e+15  1.0067e+15  1.0067e+15  1.0067e+15  1.0067e+15  
ni-62 	2.8002e+15  2.8002e+15  2.8002e+15  2.8002e+15  2.8002e+15  
ni-63 	6.9160e+13  6.9158e+13  6.9027e+13  6.8679e+13  3.4421e+13  
ni-64 	7.2513e+14  7.2513e+14  7.2513e+14  7.2513e+14  7.2513e+14  
ni-65 	7.8281e+08  1.0634e+06  0.0000e+00  0.0000e+00  0.0000e+00  
cu-62 	9.7080e+03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
cu-63 	2.4347e+11  2.4480e+11  3.7591e+11  7.2434e+11  3.4981e+13  
cu-64 	1.6160e+07  4.3617e+06  0.0000e+00  0.0000e+00  0.0000e+00  
cu-65 	1.8765e+12  1.8773e+12  1.8773e+12  1.8773e+12  1.8773e+12  
cu-66 	1.0155e+05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
zn-64 	1.3677e+09  1.3723e+09  1.3740e+09  1.3740e+09  1.3740e+09  
zn-65 	1.8599e+06  1.8546e+06  1.4004e+06  6.6205e+05  0.0000e+00  
zn-66 	3.6185e+09  3.6186e+09  3.6186e+09  3.6186e+09  3.6186e+09  
zn-67 	1.8993e+06  1.8993e+06  1.8993e+06  1.8993e+06  1.8993e+06  
====================================================================
total	9.1531e+22  9.1531e+22  9.1531e+22  9.1531e+22  9.1531e+22  

Interval #2 (Zone: outer_zone) :
	Relative Volume: 1
	Containing mixture: outer_mix

Total (All constituents) 
	COMPACTED
	Volume Fraction: 0.6	Relative Volume: 0.6
Number Density [atoms/cm3]
isotope	 shutdown         1 d       100 d         1 y       100 y   
====================================================================
h-1 	5.5280e+22  5.5280e+22  5.5280e+22  5.5280e+22  5.5280e+22  
h-2 	4.0942e+19  4.0942e+19  4.0942e+19  4.0942e+19  4.0942e+19  
h-3 	1.0395e+15  1.0393e+15  1.0236e+15  9.8286e+14  3.8347e+12  
he-3 	6.7371e+12  6.8970e+12  2.2614e+13  6.3372e+13  1.0424e+15  
he-4 	4.7660e+19  4.7660e+19  4.7660e+19  4.7660e+19  4.7660e+19  
he-6 	2.4891e+05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
li-6 	2.1121e+12  2.1121e+12  2.1121e+12  2.1121e+12  2.1121e+12  
li-7 	1.4018e+12  1.4018e+12  1.4018e+12  1.4018e+12  1.4018e+12  
li-8 	1.3279e+02  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
be-8 	2.2199e-10  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
be-9 	5.1686e+16  5.1686e+16  5.1686e+16  5.1686e+16  5.1686e+16  
be-10 	3.4593e+15  3.4593e+15  3.4593e+15  3.4593e+15  3.4592e+15  
be-11 	7.9446e+04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
b-10 	3.2014e+04  3.2783e+04  1.0891e+05  3.1191e+05  2.8021e+07  
b-11 	2.2753e+14  2.2753e+14  2.2753e+14  2.2753e+14  2.2753e+14  
b-12 	3.4990e+05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
b-13 	3.8730e+05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
c-12 	1.5590e+20  1.5590e+20  1.5590e+20  1.5590e+20  1.5590e+20  
c-13 	2.1616e+19  2.1616e+19  2.1616e+19  2.1616e+19  2.1616e+19  
c-14 	1.3122e+16  1.3122e+16  1.3122e+16  1.3120e+16  1.2965e+16  
c-15 	2.6313e+08  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
n-14 	4.1209e+14  4.1210e+14  4.1253e+14  4.1367e+14  5.6885e+14  
n-15 	1.4822e+18  1.4822e+18  1.4822e+18  1.4822e+18  1.4822e+18  
n-16 	1.5010e+12  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
n-17 	2.7052e+08  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
n-18 	2.7814e+06  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
o-16 	2.7758e+22  2.7758e+22  2.7758e+22  2.7758e+22  2.7758e+22  
o-17 	1.0411e+19  1.0411e+19  1.0411e+19  1.0411e+19  1.0411e+19  
o-18 	5.6769e+19  5.6769e+19  5.6769e+19  5.6769e+19  5.6769e+19  
o-19 	8.6164e+07  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
f-19 	6.9810e+13  6.9811e+13  6.9811e+13  6.9811e+13  6.9811e+13  
ne-20 	7.2532e+11  7.2532e+11  7.2532e+11  7.2532e+11  7.2532e+11  
ne-21 	1.7104e+12  1.7104e+12  1.7104e+12  1.7104e+12  1.7104e+12  
ne-22 	1.7989e+13  1.7989e+13  1.7989e+13  1.7989e+13  1.7989e+13  
ne-23 	1.1808e+06  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
na-23 	1.3546e+12  1.3546e+12  1.3546e+12  1.3546e+12  1.3546e+12  
na-24 	3.9236e+10  1.2924e+10  0.0000e+00  0.0000e+00  0.0000e+00  
na-24m	4.5671e+03  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
na-25 	3.0968e+07  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
na-26 	1.2410e+04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
mg-24 	2.9490e+15  2.9490e+15  2.9490e+15  2.9490e+15  2.9490e+15  
mg-25 	5.7344e+16  5.7344e+16  5.7344e+16  5.7344e+16  5.7344e+16  
mg-26 	2.2159e+15  2.2159e+15  2.2159e+15  2.2159e+15  2.2159e+15  
mg-27 	1.4375e+10  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
al-26 	3.5818e+11  3.5818e+11  3.5818e+11  3.5818e+11  3.5814e+11  
al-27 	1.9156e+16  1.9156e+16  1.9156e+16  1.9156e+16  1.9156e+16  
al-28 	4.2033e+11  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
al-29 	3.4995e+10  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
al-30 	1.1949e+08  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
si-28 	6.5226e+19  6.5226e+19  6.5226e+19  6.5226e+19  6.5226e+19  
si-29 	3.3223e+18  3.3223e+18  3.3223e+18  3.3223e+18  3.3223e+18  
si-30 	2.1924e+18  2.1924e+18  2.1924e+18  2.1924e+18  2.1924e+18  
si-31 	2.2855e+11  4.0105e+08  0.0000e+00  0.0000e+00  0.0000e+00  
p-30 	1.1139e+05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
p-31 	5.2741e+14  5.2763e+14  5.2763e+14  5.2763e+14  5.2763e+14  
p-32 	8.0182e+09  7.6377e+09  6.2081e+07  1.6581e+02  0.0000e+00  
s-32 	6.7072e+10  6.7453e+10  7.5028e+10  7.5090e+10  7.5090e+10  
sc-48 	8.8236e+10  6.0284e+10  2.5220e-06  0.0000e+00  0.0000e+00  
ti-48 	1.0783e+13  1.0811e+13  1.0871e+13  1.0871e+13  1.0871e+13  
ti-49 	3.8372e+11  3.8372e+11  3.8372e+11  3.8372e+11  3.8372e+11  
ti-50 	2.0104e+14  2.0104e+14  2.0104e+14  2.0104e+14  2.0104e+14  
ti-51 	8.8473e+08  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
v-50 	4.7344e+14  4.7344e+14  4.7344e+14  4.7344e+14  4.7344e+14  
v-51 	2.3276e+17  2.3346e+17  2.5910e+17  2.6145e+17  2.6146e+17  
v-52 	9.1719e+10  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
v-53 	1.2080e+09  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
v-54 	6.2069e+07  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
cr-50 	7.1497e+14  7.1497e+14  7.1497e+14  7.1497e+14  7.1497e+14  
cr-51 	2.8701e+16  2.7992e+16  2.3517e+15  3.1841e+12  0.0000e+00  
cr-52 	3.3210e+16  3.3212e+16  3.3225e+16  3.3225e+16  3.3225e+16  
