,Isotope,Parent KZA,Number of Reactions (FENDL2),Number of Reactions (FENDL3)
2861,Rf-267,1042670,0.0,23.0
2862,Rf-268,1042680,0.0,22.0
2863,Db-255,1052550,0.0,37.0
2864,Db-256,1052560,0.0,37.0
2865,Db-257,1052570,0.0,44.0
2866,Db-258,1052580,0.0,42.0
2867,Db-258m,1052581,0.0,42.0
2868,Db-260,1052600,0.0,42.0
2869,Db-261,1052610,0.0,35.0
2870,Db-262,1052620,0.0,34.0
2871,Db-263,1052630,0.0,30.0
2872,Db-264,1052640,0.0,31.0
2873,Db-265,1052650,0.0,29.0
2874,Db-266,1052660,0.0,26.0
2875,Db-267,1052670,0.0,23.0
2876,Db-268,1052680,0.0,23.0
2877,Db-269,1052690,0.0,23.0
2878,Db-270,1052700,0.0,21.0
2879,Sg-265,1062650,0.0,39.0
2880,Sg-265m,1062651,0.0,35.0
2881,Sg-267,1062670,0.0,28.0
2882,Sg-268,1062680,0.0,25.0
2883,Sg-269,1062690,0.0,23.0
2884,Sg-270,1062700,0.0,22.0
2885,Sg-271,1062710,0.0,22.0
2886,Sg-272,1062720,0.0,31.0
2887,Sg-273,1062730,0.0,18.0
2888,Bh-264,1072640,0.0,44.0
2889,Bh-265,1072650,0.0,34.0
2890,Bh-266,1072660,0.0,31.0
2891,Bh-267,1072670,0.0,30.0
2892,Bh-268,1072680,0.0,29.0
2893,Bh-269,1072690,0.0,27.0
2894,Bh-270,1072700,0.0,26.0
2895,Bh-271,1072710,0.0,22.0
2896,Bh-272,1072720,0.0,21.0
2897,Bh-273,1072730,0.0,21.0
2898,Bh-274,1072740,0.0,19.0
2899,Bh-275,1072750,0.0,16.0
2900,Hs-268,1082680,0.0,34.0
2901,Hs-269,1082690,0.0,31.0
2902,Hs-270,1082700,0.0,28.0
2903,Hs-271,1082710,0.0,28.0
2904,Hs-272,1082720,0.0,25.0
2905,Mt-277,1092770,0.0,17.0
2906,Mt-278,1092780,0.0,17.0
2907,Mt-279,1092790,0.0,15.0
2908,Ds-280,1102800,0.0,17.0
2909,Ds-281,1102810,0.0,15.0
2910,Rg-280,1112800,0.0,22.0
2911,Rg-281,1112810,0.0,19.0
2912,Rg-282,1112820,0.0,19.0
2913,Rg-283,1112830,0.0,17.0
2914,Cn-283,1122830,0.0,17.0
2915,Cn-285,1122850,0.0,12.0
2916,Nh-284,1132840,0.0,23.0
2917,Nh-285,1132850,0.0,18.0
2918,Nh-286,1132860,0.0,18.0
2919,Nh-287,1132870,0.0,17.0
2920,Mc-291,1152910,0.0,26.0
